dataset_name	hyperparameter_setting	n_training	n_testing	training_log_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_log_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-pxr-p1_MultiSURF_100	md_RandomForest_ne_50_ct_gini_mf_0.2_ms_2_ml_1_bs_True	395	96	0.12164	0.99999	2e-05	0.99609	0.00347	0.99608	0.0035	0.83003	0.81567	0.07616	0.64844	0.07265	0.5	0.12698
tox21-pxr-p1_MultiSURF_200	md_RandomForest_ne_50_ct_gini_mf_0.2_ms_2_ml_1_bs_True	395	96	0.12164	0.99999	2e-05	0.99609	0.00347	0.99608	0.0035	0.83003	0.81567	0.07616	0.64844	0.07265	0.5	0.12698
tox21-pxr-p1_MultiSURF_300	md_RandomForest_ne_50_ct_gini_mf_0.2_ms_2_ml_1_bs_True	395	96	0.12164	0.99999	2e-05	0.99609	0.00347	0.99608	0.0035	0.83003	0.81567	0.07616	0.64844	0.07265	0.5	0.12698
tox21-pxr-p1_MultiSURF_400	md_RandomForest_ne_50_ct_gini_mf_0.2_ms_2_ml_1_bs_True	395	96	0.12164	0.99999	2e-05	0.99609	0.00347	0.99608	0.0035	0.83003	0.81567	0.07616	0.64844	0.07265	0.5	0.12698
tox21-pxr-p1_MultiSURF_500	md_RandomForest_ne_50_ct_gini_mf_0.2_ms_2_ml_1_bs_True	395	96	0.12164	0.99999	2e-05	0.99609	0.00347	0.99608	0.0035	0.83003	0.81567	0.07616	0.64844	0.07265	0.5	0.12698
tox21-rt-viability-hek293-p1_MultiSURF_100	md_RandomForest_ne_100_ct_gini_mf_0.9_ms_2_ml_1_bs_True	463	116	0.14016	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.66079	0.65857	0.08997	0.62719	0.07029	0.47761	0.12125
tox21-rt-viability-hek293-p1_MultiSURF_200	md_RandomForest_ne_100_ct_gini_mf_0.9_ms_2_ml_1_bs_True	463	116	0.14016	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.66079	0.65857	0.08997	0.62719	0.07029	0.47761	0.12125
tox21-rt-viability-hek293-p1_MultiSURF_300	md_RandomForest_ne_100_ct_gini_mf_0.9_ms_2_ml_1_bs_True	463	116	0.14016	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.66079	0.65857	0.08997	0.62719	0.07029	0.47761	0.12125
tox21-rt-viability-hek293-p1_MultiSURF_400	md_RandomForest_ne_100_ct_gini_mf_0.9_ms_2_ml_1_bs_True	463	116	0.14016	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.66079	0.65857	0.08997	0.62719	0.07029	0.47761	0.12125
tox21-rt-viability-hek293-p1_MultiSURF_500	md_RandomForest_ne_100_ct_gini_mf_0.9_ms_2_ml_1_bs_True	463	116	0.14016	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.66079	0.65857	0.08997	0.62719	0.07029	0.47761	0.12125
tox21-rt-viability-hepg2-p1_MultiSURF_100	md_RandomForest_ne_50_ct_entropy_mf_0.8_ms_2_ml_1_bs_True	462	117	0.12765	0.99984	0.00019	0.98718	0.01087	0.98701	0.01111	0.74669	0.77743	0.0752	0.56387	0.06528	0.30435	0.13736
tox21-rt-viability-hepg2-p1_MultiSURF_200	md_RandomForest_ne_50_ct_entropy_mf_0.8_ms_2_ml_1_bs_True	462	117	0.12765	0.99984	0.00019	0.98718	0.01087	0.98701	0.01111	0.74669	0.77743	0.0752	0.56387	0.06528	0.30435	0.13736
tox21-rt-viability-hepg2-p1_MultiSURF_300	md_RandomForest_ne_50_ct_entropy_mf_0.8_ms_2_ml_1_bs_True	462	117	0.12765	0.99984	0.00019	0.98718	0.01087	0.98701	0.01111	0.74669	0.77743	0.0752	0.56387	0.06528	0.30435	0.13736
tox21-rt-viability-hepg2-p1_MultiSURF_400	md_RandomForest_ne_50_ct_entropy_mf_0.8_ms_2_ml_1_bs_True	462	117	0.12765	0.99984	0.00019	0.98718	0.01087	0.98701	0.01111	0.74669	0.77743	0.0752	0.56387	0.06528	0.30435	0.13736
tox21-rt-viability-hepg2-p1_MultiSURF_500	md_RandomForest_ne_50_ct_entropy_mf_0.8_ms_2_ml_1_bs_True	462	117	0.12765	0.99984	0.00019	0.98718	0.01087	0.98701	0.01111	0.74669	0.77743	0.0752	0.56387	0.06528	0.30435	0.13736
